Fósforo_OK;Potássio_OK;pH;pH_Status;Umidade;Umidade_Status;Irrigação
Não;Não;340;Fora da faixa;8650;Fora da faixa;Inativa
Não;Não;340;Fora da faixa;8650;Fora da faixa;Inativa
Não;Não;340;Fora da faixa;8650;Fora da faixa;Inativa
Não;Não;340;Fora da faixa;7300;Fora da faixa;Inativa
Não;Não;340;Fora da faixa;6650;OK;Ativa
Não;Não;340;Fora da faixa;6650;OK;Ativa
Não;Não;340;Fora da faixa;5300;OK;Ativa
Não;Não;340;Fora da faixa;4700;OK;Ativa
Não;Não;340;Fora da faixa;4450;OK;Ativa
Não;Não;340;Fora da faixa;4450;OK;Ativa
Não;Não;340;Fora da faixa;4450;OK;Ativa
Não;Não;10;Fora da faixa;4450;OK;Ativa
Não;Não;1170;Fora da faixa;4450;OK;Ativa
Sim;Não;620;OK;4450;OK;Ativa
Sim;Não;620;OK;4450;OK;Ativa
Não;Não;620;OK;4450;OK;Ativa
Sim;Não;620;OK;4450;OK;Ativa
Não;Sim;620;OK;4450;OK;Ativa
Não;Não;620;OK;4450;OK;Ativa
Não;Não;620;OK;4450;OK;Ativa
Não;Não;390;Fora da faixa;4450;OK;Ativa
Não;Não;350;Fora da faixa;4450;OK;Ativa
Não;Não;180;Fora da faixa;4450;OK;Ativa
Não;Não;710;Fora da faixa;4450;OK;Ativa
Não;Não;670;OK;4450;OK;Ativa
Não;Não;670;OK;4450;OK;Ativa
Não;Não;510;Fora da faixa;4450;OK;Ativa
Não;Não;1030;Fora da faixa;4450;OK;Ativa
Não;Não;770;Fora da faixa;4450;OK;Ativa
Não;Não;550;OK;4450;OK;Ativa
Não;Não;1300;Fora da faixa;4450;OK;Ativa
Não;Não;1300;Fora da faixa;4450;OK;Ativa
Não;Não;1300;Fora da faixa;4450;OK;Ativa
Não;Não;1300;Fora da faixa;4450;OK;Ativa
Não;Não;1040;Fora da faixa;4450;OK;Ativa
Não;Não;780;Fora da faixa;4450;OK;Ativa
Não;Não;670;OK;4450;OK;Ativa
Não;Não;670;OK;4450;OK;Ativa
Não;Não;670;OK;7500;Fora da faixa;Inativa
Não;Não;670;OK;7600;Fora da faixa;Inativa
Não;Não;670;OK;7600;Fora da faixa;Inativa
Não;Não;670;OK;6400;OK;Ativa
Não;Não;670;OK;5600;OK;Ativa
Não;Não;670;OK;5600;OK;Ativa
Sim;Não;670;OK;5600;OK;Ativa
Não;Não;670;OK;5600;OK;Ativa
Não;Não;570;OK;5600;OK;Ativa
Não;Não;600;OK;5600;OK;Ativa
Não;Não;600;OK;5600;OK;Ativa
Não;Não;600;OK;5600;OK;Ativa
Não;Não;600;OK;5600;OK;Ativa
Não;Não;600;OK;5600;OK;Ativa
Não;Não;600;OK;5600;OK;Ativa
Não;Não;600;OK;5600;OK;Ativa
Não;Não;600;OK;7600;Fora da faixa;Inativa
Não;Não;600;OK;7650;Fora da faixa;Inativa
Não;Não;600;OK;7650;Fora da faixa;Inativa
Não;Não;600;OK;7650;Fora da faixa;Inativa
Não;Não;600;OK;7650;Fora da faixa;Inativa
Não;Não;600;OK;7650;Fora da faixa;Inativa
Não;Não;600;OK;7650;Fora da faixa;Inativa
Não;Não;600;OK;7650;Fora da faixa;Inativa
Não;Não;600;OK;7650;Fora da faixa;Inativa
Não;Não;600;OK;7650;Fora da faixa;Inativa
Não;Não;600;OK;7650;Fora da faixa;Inativa
Não;Não;600;OK;7650;Fora da faixa;Inativa
Não;Não;600;OK;7650;Fora da faixa;Inativa
Sim;Não;600;OK;7650;Fora da faixa;Inativa
Não;Não;600;OK;7650;Fora da faixa;Inativa
Não;Não;600;OK;5650;OK;Ativa
Não;Não;600;OK;5650;OK;Ativa
Não;Não;600;OK;5650;OK;Ativa
Não;Não;600;OK;5650;OK;Ativa
Não;Não;600;OK;7600;Fora da faixa;Inativa
Não;Não;600;OK;7600;Fora da faixa;Inativa
Não;Não;600;OK;7600;Fora da faixa;Inativa
Não;Não;600;OK;7600;Fora da faixa;Inativa
Não;Não;600;OK;7600;Fora da faixa;Inativa
Não;Não;600;OK;7600;Fora da faixa;Inativa
Não;Não;600;OK;7600;Fora da faixa;Inativa
Não;Não;600;OK;7600;Fora da faixa;Inativa
